label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
1,215.4,14.26,0.7928850810206742,60.0,50.0,5.1084,0.3,3.37,2.04,2500.0,1.6528925619834711,0.08616
2,642.87,32.04,0.6339986693280106,138.0,50.0,15.2464,0.69,4.55,4.62,2500.0,0.9854014598540146,0.257148
3,5.9,2.88,0.5139500734214391,10.0,50.0,0.14,0.05,1.1,0.37,2500.0,2.9545454545454546,0.00236
4,1283.03,54.91,0.8602689223879584,214.0,50.0,30.4284,1.07,6.11,6.17,2500.0,0.9890710382513661,0.513212
5,43.46,7.68,0.456591070163005,36.0,50.0,1.0308,0.18,2.45,1.08,2500.0,2.265625,0.017384
6,202.34,9.12,0.8871552170376396,29.0,50.0,4.7988,0.145,2.93,1.62,2500.0,1.8125,0.08093600000000001
7,237.24,16.46,0.7469598003292444,55.0,50.0,5.6264,0.275,5.36,1.25,2500.0,4.297297297297297,0.09489600000000001
8,2234.72,29.22,0.946867049709859,115.0,50.0,52.9988,0.575,5.92,8.16,2500.0,0.7252066115702479,0.8938879999999999
9,2155.65,28.63,0.9460885914783999,75.0,50.0,51.1236,0.375,6.53,6.49,2500.0,1.0051948051948052,0.86226
10,2063.63,28.52,0.9172645420536926,109.0,50.0,48.9412,0.545,6.7,6.51,2500.0,1.028497409326425,0.8254520000000001
11,1472.27,25.38,0.9348834220475308,90.0,50.0,34.9164,0.45,4.44,6.31,2500.0,0.7032085561497327,0.588908
12,1658.47,28.09,0.9350697515191282,125.0,50.0,39.3324,0.625,6.46,6.86,2500.0,0.941031941031941,0.663388
13,1933.9,28.93,0.9517252255617255,119.0,50.0,45.8644,0.595,6.46,6.19,2500.0,1.0435967302452316,0.77356
14,1490.96,23.97,0.9281124666652668,78.0,50.0,35.3596,0.39,6.09,4.98,2500.0,1.223728813559322,0.596384
15,71.26,6.36,0.801707779886148,18.0,50.0,1.69,0.09,2.41,0.84,2500.0,2.86,0.028504
16,2162.75,28.14,0.9541419567983451,92.0,50.0,51.292,0.46,6.21,6.81,2500.0,0.9108910891089109,0.8651
17,1923.12,26.85,0.9581358609794629,89.0,50.0,45.6088,0.445,6.31,6.93,2500.0,0.9099756690997567,0.7692479999999999
18,2193.92,28.23,0.9485743455115584,99.0,50.0,52.0312,0.495,6.46,6.26,2500.0,1.0323450134770888,0.877568
19,1280.2,22.08,0.9383831765302212,74.0,50.0,30.3612,0.37,5.06,4.81,2500.0,1.0526315789473684,0.51208
1,596.14,21.6,0.7657062391681109,77.0,50.0,14.138,0.385,3.51,6.44,2500.0,0.5445026178010471,0.238456
2,4.06,1.81,0.7109144542772862,3.0,50.0,0.0964,0.015,0.29,0.47,2500.0,0.6071428571428571,0.0016239999999999998
3,629.38,27.16,0.5492897622727607,100.0,50.0,14.9264,0.5,6.27,5.08,2500.0,1.2358803986710964,0.251752
